"9802","TOURGEVILLE MILITARY CEMETERY","France","49.33991, 0.06901"
"9804","FECAMP (LE VAL AUX CLERCS) COMMUNAL CEMETERY","France","49.74837, 0.37431"
"9806","YVETOT COMMUNAL CEMETERY","France","49.61347, 0.76128"
"9808","DEAUVILLE COMMUNAL CEMETERY","France","49.34426, 0.07177"
"9810","TROUVILLE COMMUNAL CEMETERY","France","49.35867, 0.09327"
"9812","FALAISE COMMUNAL CEMETERY","France","48.89029, -0.20377"
"9814","LES MOUTIERS-HUBERT CHURCHYARD","France","48.97617, 0.26616"
"9900","R.E. FARM CEMETERY","Belgium","50.76696, 2.86069"
"9901","BETHLEEM FARM EAST CEMETERY","Belgium","50.76081, 2.91151"
"9902","BETHLEEM FARM WEST CEMETERY","Belgium","50.75857, 2.90662"
"9903","TORONTO AVENUE CEMETERY","Belgium","50.74065, 2.89989"
"10000","PERTH CEMETERY (CHINA WALL)","Belgium","50.84213, 2.92075"
"10100","VOORMEZEELE ENCLOSURES NO.1 AND NO.2","Belgium","50.81774, 2.874"
"10200","OOSTTAVERNE WOOD CEMETERY","Belgium","50.79401, 2.90223"
"10201","CROONAERT CHAPEL CEMETERY","Belgium","50.8, 2.87298"
"10202","BUS HOUSE CEMETERY","Belgium","50.81293, 2.88728"
"10203","IRISH HOUSE CEMETERY","Belgium","50.78444, 2.85363"
"10601","KORTRIJK (ST. JAN) COMMUNAL CEMETERY","Belgium","50.82754, 3.24296"
"10603","HERZELE CHURCHYARD","Belgium","50.88816, 3.89082"
"10609","ATH COMMUNAL CEMETERY","Belgium","50.6285, 3.7891"
"10610","ENGHIEN (EDINGEN) COMMUNAL CEMETERY","Belgium","50.70049, 4.03353"
"10611","HENNUYERES COMMUNAL CEMETERY","Belgium","50.63981, 4.16752"
"10612","IRCHONWELZ COMMUNAL CEMETERY","Belgium","50.62015, 3.74679"
"10613","LESSINES COMMUNAL CEMETERY","Belgium","50.70761, 3.82455"
"10614","REBAIX COMMUNAL CEMETERY","Belgium","50.65977, 3.77968"
"10615","BISSEGEM COMMUNAL CEMETERY","Belgium","50.81885, 3.23101"
"10701","ALEXANDRIA (CHATBY) BRITISH PROTESTANT CEMETERY","Egypt","31.20667, 29.91573"
"10702","ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY","Egypt","31.20607, 29.91599"
"10800","PORT SAID WAR MEMORIAL CEMETERY","Egypt","31.27411, 32.27657"
"10802","ISMAILIA WAR MEMORIAL CEMETERY","Egypt","30.59634, 32.26297"
"10900","MAILLY WOOD CEMETERY, MAILLY-MAILLET","France","50.0748, 2.59923"
"10903","COURCELLES-AU-BOIS COMMUNAL CEMETERY EXTENSION","France","50.10582, 2.58548"
"11000","CAIRO WAR MEMORIAL CEMETERY","Egypt","30.01438, 31.23075"
"11001","CAIRO NEW BRITISH PROTESTANT CEMETERY","Egypt","30.01448, 31.23077"
"11103","KANTARA INDIAN CEMETERY MEMORIAL","Egypt","30.87318, 32.33118"
"11104","MANARA INDIAN MUHAMMADAN CEMETERY","Egypt","31.20111, 29.92539"
"11105","PORT SAID MUHAMMADAN CIVIL CEMETERY","Egypt","31.27543, 32.27098"
"11200","PIETA MILITARY CEMETERY","Malta","35.89042, 14.49549"
"11202","TA-BRAXIA CEMETERY","Malta","35.89019, 14.49899"
"11204","MALTA (CAPUCCINI) NAVAL CEMETERY","Malta","35.88776, 14.53636"
"11205","PEMBROKE MILITARY CEMETERY","Malta","35.92954, 14.47067"
"11206","IMTARFA MILITARY CEMETERY","Malta","35.89097, 14.40955"
"11207","MARSA JEWISH CEMETERY","Malta","35.87365, 14.49391"
"11208","TURKISH MILITARY CEMETERY, MARSA","Malta","35.87377, 14.49421"
"11209","ADDOLORATA CEMETERY","Malta","35.87126, 14.50019"
"11300","LE TREPORT MILITARY CEMETERY","France","50.05742, 1.37323"
"11400","FORCEVILLE COMMUNAL CEMETERY AND EXTENSION","France","50.06273, 2.55237"
"11500","LOUVENCOURT MILITARY CEMETERY","France","50.08929, 2.5037"
"11501","ACHEUX BRITISH CEMETERY","France","50.07128, 2.52444"
"11502","BERTRANCOURT MILITARY CEMETERY","France","50.09082, 2.55083"
"11503","BERTRANCOURT COMMUNAL CEMETERY","France","50.10086, 2.55873"
"11504","BUS-LES-ARTOIS COMMUNAL CEMETERY","France","50.10352, 2.54682"
"11600","PERNES BRITISH CEMETERY","France","50.48333, 2.3958"
"11700","MONT HUON MILITARY CEMETERY, LE TREPORT","France","50.046, 1.36489"
"11800","MAROEUIL BRITISH CEMETERY","France","50.32789, 2.69989"
"11900","BOIS GUILLAUME COMMUNAL CEMETERY","France","49.46856, 1.11124"
"11901","BOIS GUILLAUME COMMUNAL CEMETERY EXTENSION","France","49.46928, 1.11059"
"12000","DODOMA CEMETERY","Tanzania","-6.18315, 35.74208"
"12017","MOSHI CEMETERY","Tanzania","-3.34769, 37.3312"
"12101","DAR ES SALAAM (UPANGA ROAD) CEMETERY","Tanzania","-6.80751, 39.28665"
"12102","PUGU ROAD 1914-1918 MEMORIAL","Tanzania","-6.80743, 39.28715"
"12105","IRINGA CEMETERY","Tanzania","-7.77931, 35.69981"
"12204","MOMBASA (MBARAKI) CEMETERY","Kenya","-4.06741, 39.6651"
"12207","NAIROBI (FOREST ROAD) CEMETERY","Kenya","-1.26647, 36.83398"
"12208","NAIROBI SOUTH CEMETERY","Kenya","-1.29874, 36.82356"
"12209","GILGIL WAR CEMETERY","Kenya","-0.49047, 36.34088"
"12210","NAKURU NORTH CEMETERY","Kenya","-0.27831, 36.07359"
"12302","GIBEON STATION CEMETERY","Namibia","-25.16492, 17.83502"
"12306","KARIBIB CEMETERY","Namibia","-21.93534, 15.83988"
"12307","KEETMANSHOOP MUNICIPAL CEMETERY","Namibia","-26.57956, 18.14195"
"12308","LUDERITZ MUNICIPAL CEMETERY","Namibia","-26.65628, 15.16376"
"12310","OKAHANDJA CEMETERY","Namibia","-21.97806, 16.9194"
"12311","OMARURU MUNICIPAL CEMETERY","Namibia","-21.41493, 15.95143"
"12314","OTJIWARONGO CEMETERY","Namibia","-20.45812, 16.64264"
"12315","OUTJO CEMETERY","Namibia","-20.11178, 16.15593"
"12316","SWAKOPMUND MUNICIPAL CEMETERY","Namibia","-22.68271, 14.53278"
"12318","TSUMEB CEMETERY","Namibia","-19.24686, 17.71971"
"12319","USAKOS CEMETERY","Namibia","-21.99422, 15.59928"
"12321","WINDHOEK JEWISH CEMETERY","Namibia","-22.5815, 17.07013"
"12322","WINDHOEK OLD MUNICIPAL CEMETERY","Namibia","-22.57737, 17.09132"
"12400","DUKAMBANE FARM CEMETERY, HLUHLUWE","South Africa","-27.96965, 32.182"
"12401","DUNDEE CEMETERY","South Africa","-28.17535, 30.22974"
