http://en.wikipedia.org/wiki/Battle_of_Malazgirt_(1915),Battle_of_Malazgirt_(1915),1,1,"39.8, 42.32"
http://en.wikipedia.org/wiki/Battle_of_Más_a_Tierra,Battle_of_Más_a_Tierra,91,39,"-33.641389, -78.841111"
http://en.wikipedia.org/wiki/Battle_of_Megiddo_(1918),Battle_of_Megiddo_(1918),734,170,"32.584622, 35.183494"
http://en.wikipedia.org/wiki/Battle_of_Messines,Battle_of_Messines,498,200,"50.7644, 2.8981"
http://en.wikipedia.org/wiki/Battle_of_Mons,Battle_of_Mons,367,165,"50.45, 3.95"
http://en.wikipedia.org/wiki/Battle_of_Morava,Battle_of_Morava,2,2,"43, 21.95"
http://en.wikipedia.org/wiki/Battle_of_Moreuil_Wood,Battle_of_Moreuil_Wood,85,44,"49.893914, 2.29425"
http://en.wikipedia.org/wiki/Battle_of_Mount_Ortigara,Battle_of_Mount_Ortigara,54,39,"46.01, 11.521944"
http://en.wikipedia.org/wiki/Battle_of_Mughar_Ridge,Battle_of_Mughar_Ridge,862,54,"31.666667, 35.166667"
http://en.wikipedia.org/wiki/Battle_of_Mulhouse,Battle_of_Mulhouse,113,81,"47.7495, 7.3399"
http://en.wikipedia.org/wiki/Battle_of_Neuve_Chapelle,Battle_of_Neuve_Chapelle,107,74,"50.5, 2.5"
http://en.wikipedia.org/wiki/Battle_of_Odessa_(1914),Battle_of_Odessa_(1914),42,13,"46.466667, 30.733333"
http://en.wikipedia.org/wiki/Battle_of_Ovche_Pole,Battle_of_Ovche_Pole,2,2,"41.71, 22.85"
http://en.wikipedia.org/wiki/Battle_of_Passchendaele,Battle_of_Passchendaele,2973,1092,"50.900833, 3.0225"
http://en.wikipedia.org/wiki/Battle_of_Penang,Battle_of_Penang,130,67,"5.4, 100.233333"
http://en.wikipedia.org/wiki/Battle_of_Poelcappelle,Battle_of_Poelcappelle,94,27,"50.914128,2.920904"
http://en.wikipedia.org/wiki/Battle_of_Pozi%C3%A8res,Battle_of_Pozi%C3%A8res,0,0,"50.016667, 2.8"
http://en.wikipedia.org/wiki/Battle_of_Pozières,Battle_of_Pozières,166,76,"50.016667, 2.8"
http://en.wikipedia.org/wiki/Battle_of_Qurna,Battle_of_Qurna,68,39,"31.015833, 47.430556"
http://en.wikipedia.org/wiki/Battle_of_Rafa,Battle_of_Rafa,336,55,"31.174, 34.143"
http://en.wikipedia.org/wiki/Battle_of_Ramadi_(1917),Battle_of_Ramadi_(1917),52,32,"33.416667, 43.3"
http://en.wikipedia.org/wiki/Battle_of_Río_de_Oro,Battle_of_Río_de_Oro,110,26,"24.327077,-17.709961"
http://en.wikipedia.org/wiki/Battle_of_Romani,Battle_of_Romani,1199,89,"29.5, 33.833333"
http://en.wikipedia.org/wiki/Battle_of_Rufiji_Delta,Battle_of_Rufiji_Delta,118,47,"-8, 39.333333"
http://en.wikipedia.org/wiki/Battle_of_Saint-Mihiel,Battle_of_Saint-Mihiel,258,174,"48.8892, 5.5436"
http://en.wikipedia.org/wiki/Battle_of_Sandfontein,Battle_of_Sandfontein,27,21,"-29.261389, 17.733611"
http://en.wikipedia.org/wiki/Battle_of_Sar%C4%B1kam%C4%B1%C5%9F,Battle_of_Sarikamish,0,0,"40.3381, 42.573"
http://en.wikipedia.org/wiki/Battle_of_Sari_Bair,Battle_of_Sari_Bair,123,71,"40.367222, 26.455"
http://en.wikipedia.org/wiki/Battle_of_Sarikamis,Battle_of_Sarikamis,4,4,"40.3381, 42.573"
http://en.wikipedia.org/wiki/Battle_of_Sarikamish,Battle_of_Sarikamish,448,179,"40.3381, 42.573"
http://en.wikipedia.org/wiki/Battle_of_Scimitar_Hill,Battle_of_Scimitar_Hill,87,52,"40.3031, 26.23"
http://en.wikipedia.org/wiki/Battle_of_Sharqat,Battle_of_Sharqat,54,38,"33.325, 44.422"
http://en.wikipedia.org/wiki/Battle_of_Skra-di-Legen,Battle_of_Skra-di-Legen,66,43,"40.953197, 22.335828"
